chr1	68091	70091
chr1	138379	140379
chr1	366640	368640
chr1	621053	623053
chr1	738137	740137
chr1	817043	819043
chr1	860118	862118
chr1	865445	867445
chr1	893670	895670
chr1	894967	896967
chr1	900877	902877
chr1	916497	918497
chr1	934552	936552
chr1	947803	949803
chr1	954503	956503
chr1	1008687	1010687
chr1	1050478	1052478
chr1	1108283	1110283
chr1	1140951	1142951
chr1	1148512	1150512
chr1	1166381	1168381
chr1	1166629	1168629
chr1	1181102	1183102
chr1	1208213	1210213
chr1	1214816	1216816
chr1	1242398	1244398
chr1	1242947	1244947
chr1	1258989	1260989
chr1	1259147	1261147
chr1	1265694	1267694
chr1	1283492	1285492
chr1	1292915	1294915
chr1	1309537	1311537
chr1	1333692	1335692
chr1	1333902	1335902
chr1	1341693	1343693
chr1	1355650	1357650
chr1	1360508	1362508
chr1	1370051	1372051
chr1	1384069	1386069
chr1	1406149	1408149
chr1	1446555	1448555
chr1	1474737	1476737
chr1	1509249	1511249
chr1	1509355	1511355
chr1	1534476	1536476
chr1	1549823	1551823
chr1	1566474	1568474
chr1	1587935	1589935
chr1	1623083	1625083
chr1	1654763	1656763
chr1	1676431	1678431
chr1	1708909	1710909
chr1	1821495	1823495
chr1	1845266	1847266
chr1	1849712	1851712
chr1	1886154	1888154
chr1	1949780	1951780
chr1	1980909	1982909
chr1	2125213	2127213
chr1	2120237	2122237
chr1	2144620	2146620
chr1	2159134	2161134
chr1	2322146	2324146
chr1	2257581	2259581
chr1	2322272	2324272
chr1	2342969	2344969
chr1	2397898	2399898
chr1	2457039	2459039
chr1	2460684	2462684
chr1	2486805	2488805
chr1	2517214	2519214
chr1	2563429	2565429
chr1	2705236	2707236
chr1	2937046	2939046
chr1	2984775	2986775
chr1	3369990	3371990
chr1	3527059	3529059
chr1	3540566	3542566
chr1	3565637	3567637
chr1	3568084	3570084
chr1	3667962	3669962
chr1	3688352	3690352
chr1	3712068	3714068
chr1	3772763	3774763
chr1	3772845	3774845
chr1	3815849	3817849
chr1	4714105	4716105
chr1	6051531	6053531
chr1	6104981	6106981
chr1	6100399	6102399
chr1	6239183	6241183
chr1	6258672	6260672
chr1	6265236	6267236
chr1	6295000	6297000
chr1	6303252	6305252
chr1	6320035	6322035
chr1	6444873	6446873
chr1	6478979	6480979
chr1	6483848	6485848
chr1	6525235	6527235
chr1	6556156	6558156
chr1	6613595	6615595
chr1	6614241	6616241
chr1	6639108	6641108
