gene	gc
DDX11L1	0.50175
OR4F5	0.348
LOC100132062	0.47375
LOC100132287	0.47375
LOC100133331	0.47375
OR4F16	0.3655
OR4F29	0.3655
OR4F3	0.3655
LOC643837	0.48425
LOC643837	0.487
SAMD11	0.70175
KLHL17	0.68925
PLEKHN1	0.671
ISG15	0.53475
AGRN	0.6835
LOC254099	0.63025
MIR200B	0.67975
MIR200A	0.6805
MIR429	0.68125
TTLL10	0.59425
TTLL10	0.6525
B3GALT6	0.6445
SCNN1D	0.55775
PUSL1	0.69125
GLTPD1	0.64775
TAS1R3	0.6355
LOC148413	0.5925
TMEM88B	0.61175
VWA1	0.67425
ATAD3C	0.50725
ATAD3B	0.554
ATAD3A	0.6
ATAD3A	0.60675
MIB2	0.6055
MIB2	0.61375
MMP23B	0.7255
MMP23A	0.72825
MMP23A	0.6515
CALML6	0.581
GABRD	0.60775
PRKCZ	0.66275
PRKCZ	0.5955
PRKCZ	0.59525
PRKCZ	0.5725
SKI	0.73575
RER1	0.5985
PLCH2	0.66925
TNFRSF14	0.65525
FAM213B	0.6355
FAM213B	0.63925
ACTRT2	0.5995
PRDM16	0.711
MIR4251	0.5865
ARHGEF16	0.65675
TPRG1L	0.5925
TP73	0.6345
TP73	0.633
TP73	0.631
CCDC27	0.51575
SMIM1	0.6505
DFFB	0.578
LOC100133612	0.54425
LOC728716	0.51775
LOC284661	0.39425
AJAP1	0.70675
MIR4417	0.50275
KCNAB2	0.625
KCNAB2	0.5725
KCNAB2	0.53875
KCNAB2	0.5585
KCNAB2	0.561
RNF207	0.5945
HES3	0.654
ESPN	0.62475
TAS1R1	0.55225
ZBTB48	0.5795
PHF13	0.63875
THAP3	0.5405
THAP3	0.541
CAMTA1	0.5935
VAMP3	0.48125
PER3	0.57825
PARK7	0.4435
SLC45A1	0.522
ENO1-AS1	0.55225
CA6	0.5105
H6PD	0.57925
SPSB1	0.60725
SLC25A33	0.545
TMEM201	0.57375
PIK3CD	0.5775
NMNAT1	0.48675
RBP7	0.56425
UBE4B	0.481
KIF1B	0.55625
PGD	0.5465
APITD1	0.53725
APITD1-CORT	0.53725
APITD1	0.53425
APITD1-CORT	0.53425
CORT	0.5045
PEX14	0.49175
TARDBP	0.5295
MTOR-AS1	0.45375
ANGPTL7	0.444
UBIAD1	0.53725
PTCHD2	0.6225
FBXO44	0.625
FBXO44	0.625
FBXO6	0.58025
C1orf187	0.60375
AGTRAP	0.5185
CLCN6	0.54825
NPPA-AS1	0.53375
